"","C_Name","Cnum","Continent","Landareasqkm","eez_areasqkm","Admin_code","A_Name","CCode","HDI","L_exp","Pop8085k","Pop1015k","Popchangek","PopChangePC","MBAqua8084","MBAqua1014","FWAqua8084","FWAqua1014","MarCap8084","MarCap1014","FWCap8084","FWCap1014","Aqua8084","Aqua1014","bird_tot_Threat","bird_prp_Threat","Agri_Dep","Fish_Dep","adaptive_C","healthy_life","crops_RC","CatchinEEZ","thr_pred_n","thr_data_n","thr_crit_n","thr_pred_prp","thr_data_prp","thr_crit_prp","eez_name","MultiRelC","TradeImport8084","TradeImport1013","tradez_TradeExp8084","tradez_TradeExp1013","TradeReex8084","TradeReex1013","thr_pred_prp2","thr_pred_n2","rcp26","rcp45","rcp60","rcp85","rcp26dis","rcp45dis","rcp60dis","rcp85dis","RCP60L10EEZ","RCP26L10EEZ","RCP45L10EEZ","RCP85L10EEZ","Avail8084","Avail1014","AvailPCap8084","AvailPCap1014","AvailPCChange","Mean_Threat","Rel_Sea","Balance_Threat","log10fishc","log10cropc","Total_Threat","Balance_Dep","Total_Dep","SE","V","Vland","Vsea","Balance_V","E","Balance_E","CCcat","HDIcat","Balance_Threat_prp","thr_pred_prp_cat","Fish_Dep_cat","extremes","EEZ","ISO_3digit","WeightedThreat","CR","DDTHR","EN","VU","SpeciesRichness","THRrichness","PropTHR"
"26","Djibouti",262,"Africa",23180,6946,262,"Djibouti","DJI",0.470442735,62,391,859.5,468,119.69309,0,0,0,0,4915.66399,1884.8,0.2,0.2,0,0,11,0.0421,NA,0.004776125,NA,0.371428571,0.217381208,1884.8,33.46454032,28.21265646,5.65628214,0.547333188,0.465745986,0.093390872,6946,0.89656,145.12,548.75,0,9.4,0,0,0.575757576,38,-0.637763123,-0.678005689,-0.662778003,-0.826557448,0,0,0,0,-0.04722,-0.062015,-0.05545,-0.11635,5060.98399,2424.35,12.9436930690537,2.82065154159395,-78.2082939811229,0.294716594,0.505233188,0.752611858329451,-0.0474206410744998,-0.662778002175451,44.46454032,NA,NA,NA,NA,NA,-0.46616065237,NA,1.113941208,0.804853966763388,"both","low",0.928575450352823,"[0.5,0.75)","[0,0.1)",NA,"Djiboutian Exclusive Economic Zone","DJI",0.025256497,2,8,4,24,66,38,0.575757576
"27","Dominica",212,"North America",751,NA,212,"Dominica","DMA",0.723788309,77.763,75,71,-4,-5,0,0,0,7,1614.22071,774.3880332,0.16,0.2,0,0,4,0.0231,NA,0.145898366,NA,0.8218,NA,1821.152232,12.31373429,11.57405765,2.83438102,0.363092634,0.347145506,0.060756184,28555,0.814610924,254.92,397.9,0,0.5,0,20.25,0.319148936,15,NA,NA,NA,NA,0,0,0,0,-0.079508182,-0.07138,-0.067793636,-0.086119091,1869.30071,1158.7380332,24.9240094666667,16.3202539887324,-34.5199494866222,0.193096317,0.339992634,0.754807824567063,-0.0890497702859775,NA,16.31373429,NA,NA,NA,NA,NA,-0.60493790626265,NA,NA,NA,NA,"high",0.94018529105348,"[0.25,0.5)","[0.1,0.2)",NA,"Dominican Exclusive Economic Zone","DMA",0.028236206,3,2,1,9,47,15,0.319148936
"28","Dominican Rp",214,"North America",48320,269130,214,"Dominican Rp","DOM",0.715028472,73.5,6149,10213,4064,66.09205,0.04,743.5,26.8,861.94,26409.16091,27845.904,299.2,278.8,26.84,26.84,14,0.0648,0.316161524,0.0743221,0.519591706,0.7,0.442390465,24741.06878,11.89948513,11.19887755,2.149785369,0.437250001,0.420889634,0.050220504,269130,0.880058213,13768.44,46420.3,1079,3828.3,0,0,0.326923077,17,-0.340121719,-0.359445492,-0.354194243,-0.409173252,0,0,0,0,-0.056731154,-0.045147121,-0.053174423,-0.048569242,39424.64091,72322.144,6.41155324605627,7.08138098501909,10.4471991927203,0.2510250005,0.372450001,0.459448713759045,-0.0554885997265256,-0.354194242106864,25.89948513,0.190333461973811,0.390483624,0.525693282671122,-0.189335189328878,-0.575161628382531,-0.649620697487593,0.0744590691050614,1.322448678,0.665476269620499,"both","high",0.870929190576777,"[0.25,0.5)","[0,0.1)","Dominican Rp","Dominican Republic Exclusive Economic Zone","DOM",0.057742419,2,3,2,10,52,17,0.326923077
"29","Ecuador",218,"South America",276841,1071962,218,"Ecuador","ECU",0.731674443,75.9,8511,15539.5,7028,82.57549,22416,281684.068,510.6,39289.292,685822.6898,582616.7294,579,0,22926.6,22926.6,99,0.0645,0.377516392,0.057112457,0.530746041,0.768571429,0.944616044,111291.0706,11.39350555,11.29212309,0,0.505805126,0.503460113,0,835408,0.941766068,141.48,160921.5,138376.88,616399.55,0,0,0.386666667,29,-0.023310484,-0.032358301,-0.024744682,-0.047089275,0,0,0,0,-0.046215,-0.156700714,-0.063731,-0.404736429,571092.8898,448112.0394,67.100562777582,28.8369664017504,-57.0242555232567,0.285152563,0.441305126,0.103208114401618,-0.0260569613193271,-0.0247446823444404,110.39350555,0.13140512216666,0.434628849,0.944241542555548,0.212567099555548,-0.375066402243807,-0.677887868937291,0.302821466693484,1.886382112,0.499244592073401,"both","high",0.886902647268157,"[0.5,0.75)","[0,0.1)","Ecuador","Ecuadorean Exclusive Economic Zone","ECU",1.405880636,1,13,3,12,75,29,0.386666667
"30","Egypt",818,"Africa",995450,235085,818,"Egypt","EGY",0.689948655,71.1,46372,86774.5,40402,87.12585,12558,839690.6,10642,192065,81798.82968,111261.1115,100604,54006,23200,23200,14,0.0411,0.214759845,0.043108445,0.473618569,0.631428571,0.941423083,122959.9909,24.49423235,21.35609996,4.929479304,0.555746809,0.494181571,0.105338654,235085,0.920161068,114857.4,311154.7,271.24,14782.35,0,0,0.515463918,50,-0.027673102,-0.023412479,-0.026215157,-0.071215673,0,1,1,0,-0.005404545,-0.158963939,-0.055331818,-0.092608966,320188.98968,1493395.0615,6.90479146208919,17.210068182473,149.248196371534,0.2984234045,0.514646809,0.636309152168351,-0.036136145675061,-0.0262151573183254,38.49423235,0.167172338250663,0.25786829,0.937868662236529,0.247920007236529,-0.487768779615498,-0.650281942208981,0.162513162593483,1.861584151,0.494289268366252,"both","med",0.931138108840924,"[0.5,0.75)","[0,0.1)","Egypt","Egyptian Exclusive Economic Zone","EGY",0.827866659,2,7,9,32,97,50,0.515463918
"31","El Salvador",222,"North America",20721,93467,222,"El Salvador","SLV",0.665784288,73,4749.5,6082.5,1333,28.06611,0,804.188,10,3125.138,17026.93259,58085.82196,1037.8,1466,10,10,6,0.0128,0.35734428,0.010770291,0.531434529,0.685714286,0.867656554,7643.019369,14.11845787,10.83026915,1.537223082,0.461744465,0.395862319,0.035818159,93467,0.966961061,1613,20067.95,3585,21728.05,0,0,0.35,21,-0.056930011,-0.084604982,-0.061652148,-0.142690535,0,0,0,0,-0.002322143,-0.006652,-0.014063571,-0.085398667,16102.73259,61821.04796,3.39040585114223,10.1637563436087,199.779931661708,0.2372722325,0.448944465,0.701766405816471,-0.0145910143692471,-0.0616521483479502,20.11845787,0.029257986095856,0.368114571,0.870562003885062,0.204777715885062,-0.355732181423589,-0.655369835987361,0.299637654563772,1.834617615,0.52706408850217,"both","med",0.973026763677456,"[0.25,0.5)","[0,0.1)",NA,"El Salvador Exclusive Economic Zone","SLV",0.156906749,1,8,2,10,60,21,0.35
"32","Estonia",233,"Europe",42388,36217,233,"Estonia","EST",0.860835015,76.8,1498,1322.5,-176,-11.749,0,0,0,629.112,0,84764.55414,0,1674.52,0,0,8,0.0364,0.166460244,0.015630974,NA,0.794285714,1.488101867,42938.07041,2,2,0,1,1,0,36217,0.869504631,0,51879.45,0,125255.15,0,0,1,2,0.126420246,0.126920537,0.172632661,0.129929863,1,0,0,0,-0.067472857,0.049611111,-0.088091429,0.073361111,0,13692.48614,0,10.35348668431,Inf,0.5182,0.9636,0.2,-0.0607281005935404,0.172632661560488,10,0.0858414489819053,0.182091218,1.43500058392556,0.574165568925558,-0.613125215122325,-0.847243810719959,0.234118595597635,2.357606498,0.368808209401194,"sea","very high",0.96487842531841,NA,"[0,0.1)","Estonia","Estonian Exclusive Economic Zone","EST",0.002500906,NA,NA,NA,2,2,2,1
"33","Fiji",242,"Oceania",18274,857882,242,"Fiji","FJI",0.727135774,70,874,668,206,30.8,0.84,521.7,0.866666667,201.4,84193.36817,113357.7612,0,38,1.706666667,1.706666667,12,0.1644,0.490256932,0.076247691,NA,0.6,0.421676582,101669.0447,9.44741961,9.44741961,0,0.526733412,0.526733412,0,857882,0.982422994,9942.64,64194.1,4313.8,28706,1482.16,38975.45,0.48,12,-0.370852294,-0.381431578,-0.375020517,-0.57537638,0,0,0,0,-0.023446214,-0.009231571,-0.031383929,-0.088305929,88341.754836667,110631.5112,101.077522696415,165.616034730539,63.8505083152502,0.345566706,0.362333412,0.440492132936826,-0.0077014812492727,-0.375020517056226,21.44741961,0.134593237026417,0.566504623,0.497149256742029,-0.229986517257971,-0.520405906612434,-0.652228289122193,0.13182238250976,1.404099576,0.699681853618051,"both","high",0.762129862128558,"[0.5,0.75)","[0,0.1)","Fiji","Fijian Exclusive Economic Zone","FJI",0.089411738,NA,1,NA,11,25,12,0.48
"34","Finland",246,"Europe",303815,78899,246,"Finland","FIN",0.882727787,80.8,4840.5,5435.5,595,12.29212,3517.2,10527.2,3339.8,2001,88992.37613,141054.4074,38560.6,15493,6857,6857,9,0.0396,0.169179645,0.027563644,NA,0.908571429,1.276372564,98228.63205,2,2,0,1,1,0,78899,0.829892258,115023.6,110373,5962.88,59413.6,0,0,1,2,0.07529659,0.084143002,0.10597746,0.10505252,0,0,0,0,-0.066081,0.074983333,-0.059478,0.114472564,243470.69613,220035.0074,50.2986666935234,40.4810978566829,-19.5185468765211,0.5198,0.9604,0.181818181818182,-0.0809782868930135,0.105977460335429,11,0.140099538541312,0.196743289,1.21382087916162,0.331093092161616,-0.66679152973474,-0.859852932242132,0.193061402507392,2.106264822,0.394011355709762,"sea","very high",0.961908426317814,NA,"[0,0.1)","Finland","Finnish Exclusive Economic Zone","FIN",0.005441357,NA,NA,NA,2,2,2,1
"35","France",250,"Europe",549970,11691000,250,"France","FRA",0.888107437,82.2,54716.5,63678,8962,16.37897,171648.64,167748.76,26130,40651.16,861080.8967,524140.0897,2006,1794.2,197778.64,197778.64,13,0.0442,0.111267348,0.002102037,NA,0.948571429,0.98725204,303745.5555,19.86699753,18.00372086,4.834557535,0.377583925,0.343390572,0.084012416,342985,0.645958915,526492.96,1132683.55,158990.72,348214,0,0,0.469387755,23,-0.012417561,-0.021245811,-0.00557196,-0.057879496,0,0,1,0,-0.137956739,-0.132430769,-0.142638913,-0.141227308,1428367.7767,1518803.7597,26.1048820136522,23.8513106520305,-8.63275827273649,0.2108919625,0.333383925,0.604466456416227,-0.189795103608959,-0.0055719601897188,32.86699753,0.0185414871925079,0.113369385,0.980923957893922,0.0928165208939215,-0.77825852070161,-0.88674960746019,0.10849108675858,1.633210955,0.395514684139502,"both","very high",0.895207006763001,"[0.25,0.5)","[0,0.1)",NA,"French Exclusive Economic Zone","FRA",0.833237145,3,4,6,21,98,34,0.346938776
"36","Gabon",266,"Africa",257667,191673,266,"Gabon","GAB",0.683512932,64.4,779.5,1633.5,854,109.55741,0,0,2,79.8,37163.6026,47928.72338,600,6821.2,2,2,6,0.0102,0.399788773,0.023398546,NA,0.44,0.845334227,42995.89635,24.68534015,20.43921257,6.546761598,0.430081872,0.375027204,0.088287993,191673,0.862897142,8093.08,15138.75,1345.04,862.15,0,0,0.417582418,38,-0.060912453,-0.089660149,-0.072971546,-0.13711969,0,0,0,0,-0.073266296,-0.188759677,-0.071241852,-0.294637097,44513.6426,69106.32338,57.1053785760103,42.3056770003061,-25.9164757239197,0.220140936,0.419881872,0.804466889704659,-0.0640409694343876,-0.0729715463842219,30.68534015,0.0552912267203356,0.423187319,0.846305302115135,0.162792370115135,-0.345557798612766,-0.663322393529644,0.317764594916878,1.708231369,0.505140672194271,"both","med",0.976833023004863,"[0.25,0.5)","[0,0.1)",NA,"Gabonese Exclusive Economic Zone","GAB",0.957025175,4,7,8,19,91,38,0.417582418
"37","Gambia",270,"Africa",10120,22472,270,"Gambia","GMB",0.440649497,60.2,668,1842,1174,175.7485,0,20,0,11.8,14618.62375,57249.34736,1500,3463.6,0,0,12,0.028,0.541075227,0.111974319,0.304652372,0.32,0.421269697,36353.66094,28.44270486,25.0254415,7.686651462,0.457820438,0.416640194,0.096349293,22472,0.861547701,433.92,3386.6,833.88,3012.85,0,326.25,0.431578947,41,-0.324187706,-0.385443513,-0.37543978,-0.426427749,0,0,0,0,-0.073581667,-0.029891,-0.069603333,-0.030765,15718.66375,60792.24736,23.530933757485,33.0033916178067,40.2553420019236,0.242910219,0.429820438,0.703283941033612,-0.0647206721247452,-0.375439779655505,40.44270486,0.171463742201269,0.653049546,0.496761411174745,0.0561119141747454,-0.212710900067504,-0.344178279894509,0.131467379827006,1.282817398,0.671605874961793,"both","low",0.942365537120528,"[0.25,0.5)","[0.1,0.2)","Gambia","Gambian Exclusive Economic Zone","GMB",0.097729881,5,7,8,21,95,41,0.431578947
"38","Georgia",268,"Europe",69700,22841,268,"Georgia","GEO",0.754118641,74.9,5180,4125,-1055,-20.3668,0,0,0,614,0,30017.52843,0,4,0,0,15,0.0575,0.460101347,0.001060979,NA,0.74,1.019140399,13218.67594,2,1,0,1,0.5,0,22841,0.933846413,0,22323.65,0,13122.65,0,150.9,1,2,0.011161728,-0.018064064,0.008234017,-0.05975136,0,1,0,0,-0.003263333,0.03251125,-0.001576667,0.082775,0,39685.62843,0,9.62075840727273,Inf,0.52875,0.9425,0.117647058823529,-0.0297245450455299,0.00823401748118715,17,0.00230066278224124,0.461162326,1.01894416630086,0.264825525300861,-0.285210770637983,-0.753127849566582,0.467917078928599,1.952986812,0.478163194580753,"sea","high",0.945626477541371,NA,"[0,0.1)","Georgia","Georgian Exclusive Economic Zone","GEO",0.006710307,NA,1,NA,1,2,2,1
"39","Germany",276,"Europe",348672,56282,276,"Germany","DEU",0.916079908,80.9,77865,80562,2697,3.46369,26329.6,8699.2,32810,22804,603685.1043,260407.7215,10812.4,13829.4,59139.6,59139.6,11,0.0415,0.10927415,0,NA,0.911428571,1.25272745,98862.48518,7.376755502,5.734166019,0.396139839,0.461597771,0.361555088,0.0323315,56282,0.703990847,925425.92,1219731.4,303610.16,886190.85,0,0,0.375,9,0.10679247,0.10108401,0.097856594,0.063210485,0,0,1,0,-0.099753333,-0.1568508,-0.106853333,-0.180632,1295452.8643,639280.8715,16.6371651486547,7.9352656525409,-52.303979784786,0.2515488855,0.420097771,0.401417731285436,-0.152432987339754,0.0978565938701439,18.376755502,0,0.10927415,1.25272745,0.336647542,-0.779189180719583,-0.916079908,0.136890727280418,1.956718297,0.359781399335481,"sea","very high",0.917511063669571,"[0.25,0.5)","[0,0.1)",NA,"German Exclusive Economic Zone","DEU",0.040546519,1,2,NA,6,24,9,0.375
"40","Ghana",288,"Africa",227533,225177,288,"Ghana","GHA",0.579090287,61.4,11759,25864,14105,119.95068,0,2,345.4,25558,273635.6683,316141.0412,41200,90000,345.4,345.4,20,0.0301,0.353846836,0.044838718,0.435592104,0.354285714,0.797718897,202221.8787,21.27237014,18.15694621,4.942854309,0.47359736,0.434574257,0.061005908,225177,0.868601369,23805.4,287158.85,30067,22063.2,0,0,0.425287356,37,-0.074020369,-0.108049933,-0.09815012,-0.205247588,0,0,0,0,-0.067963214,-0.081258,-0.066800357,-0.214007333,308919.4683,696796.6912,26.2708961901522,26.9407938137952,2.54996106259261,0.25184868,0.44349736,0.515414309084794,-0.0611794904830262,-0.0981501199136465,41.27237014,0.112466372433449,0.398685554,0.805690791494955,0.226600504494956,-0.29681997927914,-0.540143315160995,0.243323335881855,1.666320266,0.521269162191177,"both","med",0.940241894458212,"[0.25,0.5)","[0,0.1)","Ghana","Ghanaian Exclusive Economic Zone","GHA",0.775413081,4,7,7,19,87,37,0.425287356
"41","Greece",300,"Europe",130647,491663,300,"Greece","GRC",0.865187181,80.9,9764,11066.5,1302,13.3347,96.04,109817.774,2092,2502.738,143879.8615,103476.017,8954.4,415,2188.04,2188.04,16,0.0519,NA,0.016071963,NA,0.911428571,0.994145101,119232.008,21.17170588,19.43247529,5.977475712,0.536980025,0.499347684,0.126339513,491663,0.950560643,53352.96,198331.65,6065.72,128757.9,0,0,0.483333333,29,-0.002912858,-0.008575882,-0.002550223,-0.058700161,1,1,1,0,0.00415127,-0.08845284,-0.093113175,-0.147471852,202309.5415,285785.279,20.7199448484228,25.824359915059,24.6352734236391,0.2944400125,0.485080025,0.569565086637342,-0.0220201711918692,-0.00255022328418959,37.17170588,NA,NA,NA,NA,NA,-0.849909805516448,NA,1.944705744,0.488794073824672,"both","very high",0.911866597954312,"[0.5,0.75)","[0,0.1)",NA,"Greek Exclusive Economic Zone","GRC",1.571357353,2,2,8,17,60,29,0.483333333
"42","Grenada",308,"North America",344,26094,308,"Grenada","GRD",0.74999318,73.4,93,105,12,13,0,0,0,0,3404.152049,4529.103352,0.2,0.2,0,0,1,0.0105,NA,0.126539318,NA,0.697142857,0.16548478,3092.167323,21.70556205,16.63661248,5.482641253,0.33065375,0.256101491,0.082355344,26094,0.679994281,454.8,578.05,5.08,758.3,0,0,0.333333333,24,-0.749351085,-0.772458526,-0.781241942,-0.917966124,0,0,0,0,-0.140311667,-0.1360925,-0.121303333,-0.1665275,3854.072049,4349.053352,41.4416349354839,41.4195557333333,-0.0532778259953036,0.170576875,0.32015375,0.95595792793863,-0.16749473985345,-0.781241943072381,22.70556205,NA,NA,NA,NA,NA,-0.66394716743836,NA,0.845479061,0.804270989509461,"both","high",0.96922208828131,"[0.25,0.5)","[0.1,0.2)",NA,"Grenadian Exclusive Economic Zone","GRD",0.06304486,4,7,2,11,72,24,0.333333333
"43","Guatemala",320,"North America",107159,117534,320,"Guatemala","GTM",0.627208788,71.8,7618.5,15537.5,7919,103.94435,5.2,14478,16,5484.346,7832.282778,25785.24594,325,2250,21.2,21.2,14,0.0207,0.385875013,0.010176472,0.473983058,0.651428571,0.909254673,18341.67685,13.24850894,10.4623477,1.258462839,0.488443489,0.434275728,0.03076369,117534,0.939492708,1463.24,32137.9,1608.04,28624.45,0,0,0.284090909,25,-0.040406363,-0.058071822,-0.041314458,-0.114669144,0,0,0,0,-0.010588824,-0.005925,-0.015421176,-0.0796605,8033.682778,51511.04194,1.05449665655969,3.31527220852776,214.393809397545,0.2545717445,0.467743489,0.486210418675481,-0.0271065863858633,-0.0413144582656631,27.24850894,0.0256948209650066,0.396051485,0.910031633895659,0.282822845895659,-0.276350129235814,-0.617648066762834,0.341297937527019,1.848747381,0.508177979130833,"both","med",0.959343484799037,"[0.25,0.5)","[0,0.1)",NA,"Guatemalan Exclusive Economic Zone","GTM",0.149689509,2,10,2,11,88,25,0.284090909
"44","Guinea",324,"Africa",245717,109143,324,"Guinea","GIN",0.411281627,58.8,4793,11810.5,7018,146.42187,0,0,3,227,41892.10506,175290.5012,1440,20000,3,3,19,0.0312,0.592871973,0.096518192,0.216928095,0.28,0.652708009,120683.7623,25.61783051,21.37221598,7.204026264,0.423430749,0.363832716,0.108889136,109143,0.81681937,11643.2,1637.8,0,8604.15,0,0,0.415730337,37,-0.166304419,-0.206465769,-0.185281059,-0.262884151,0,0,0,0,-0.085835294,-0.069941579,-0.093907647,-0.179626842,54978.30506,188551.1512,11.4705414270812,15.9647052368655,39.1800495064159,0.2273153745,0.392230749,0.574161276269548,-0.0878739719686859,-0.185281058296569,44.61783051,0.140005176894277,0.689390165,0.675684449127166,0.264402822127166,-0.0243093419112682,-0.332443698217021,0.308134356305753,1.469527379,0.555838143387188,"both","low",0.931372877728515,"[0.25,0.5)","[0,0.1)","Guinea","Guinean Exclusive Economic Zone","GIN",0.558004217,4,7,7,19,89,37,0.415730337
"45","Guyana",328,"South America",196849,135607,328,"Guyana","GUY",0.635715749,66.4,776,760,-16,-2.06186,6.2,105.952,0,214.052,40469.89425,52611.41624,728.6,800,6.2,6.2,14,0.0182,NA,0.485028141,NA,0.497142857,0.830650067,55267.66801,16.96417122,14.87596569,3.563419887,0.369401637,0.335701492,0.061074168,135607,0.827952033,2.68,1218.7,2649.2,23534.05,0,0.85,0.319444444,23,-0.052800197,-0.079312642,-0.080581896,-0.163244804,0,0,0,0,-0.072236667,-0.055302778,-0.075971667,-0.092949444,38558.17425,31415.22024,49.688368878866,41.3358161052632,-16.8098751520005,0.1938008185,0.351201637,0.547864533478704,-0.0819948231267648,-0.0805818955635913,30.96417122,NA,NA,NA,NA,NA,-0.234135713596839,NA,1.6586021,0.499186654231295,"both","med",0.953044573957772,"[0.25,0.5)","[0.2,0.8)",NA,"Guyanese Exclusive Economic Zone","GUY",0.413388656,3,5,2,13,72,23,0.319444444
"46","Haiti",332,"North America",27560,123047,332,"Haiti","HTI",0.483373299,62.8,6036.5,10355.5,4319,71.54808,0,0,0,630,44343.98359,54086.28722,300,580,0,0,14,0.0611,NA,0.080926028,NA,0.394285714,0.451429188,31290.84775,13.00025772,12.08758211,2.968596319,0.370721397,0.350112531,0.06900152,123047,0.892461062,5319.44,14959.25,346.6,659.7,0,0,0.3,18,-0.331391898,-0.355285543,-0.345410364,-0.402258549,0,0,0,0,-0.056731154,-0.045147121,-0.053174423,-0.048569242,49616.82359,69595.83722,8.21946882961981,6.7206641127903,-18.2348123449096,0.2159106985,0.309621397,0.481486430789521,-0.0494107230336225,-0.345410364226959,27.00025772,NA,NA,NA,NA,NA,-0.411149970107678,NA,1.34389025,0.664087757166182,"both","low",0.858506316675179,"[0.25,0.5)","[0,0.1)",NA,"Haitian Exclusive Economic Zone","HTI",0.032706672,2,3,2,11,60,18,0.3
"47","Honduras",340,"North America",111890,217739,340,"Honduras","HND",0.606054608,73.1,3936.5,7789.5,3853,97.87883,220.4,33642.4,30,21861,23658.32048,23407.85422,43.6,100,250.4,250.4,11,0.0164,0.400958641,0.013044237,0.503540605,0.688571429,0.869349645,13680.15034,15.38621181,12.87122472,3.239359898,0.332466463,0.284060669,0.066256489,217739,0.896064757,1097.44,16531.9,3789.24,37030.4,0,0,0.255555556,23,-0.049883519,-0.073836847,-0.060805519,-0.142000837,0,0,0,0,-0.057037143,-0.053973438,-0.056260476,-0.0545075,21260.52048,58512.75422,5.40086891400991,7.51174712369215,39.0840482020699,0.1744332315,0.316066463,0.583115602982041,-0.0476606035169834,-0.0608055188863548,26.38621181,0.0315075998094873,0.414002878,0.870191374057762,0.264136766057762,-0.257481355786968,-0.594366126942345,0.336884771155377,1.765414402,0.507566243928263,"both","med",0.95299060890241,"[0.25,0.5)","[0,0.1)",NA,"Honduran Exclusive Economic Zone","HND",0.201479374,2,8,2,11,90,23,0.255555556
"48","Iceland",352,"Europe",100250,754927,352,"Iceland","ISL",0.899412127,82.6,234.5,323.5,89,37.95309,85.2,6364.12,0,290.4,1417345.495,1569727.392,433.4,195.4,85.2,85.2,4,0.0606,0.196094164,0.094156596,NA,0.96,NA,1390043.246,4.224101594,4.224101594,0.816113954,0.326793208,0.326793208,0.034723314,754927,0.884450865,1269.8,93421.2,441214.24,717309.9,0,0,0.25,9,NA,NA,NA,NA,0,0,0,0,-0.031996918,0.061539893,-0.042335031,0.015925241,977919.655,952688.612,4170.23307036247,2944.94161360124,-29.3818459565076,0.193696604,0.266193208,0.513624685410227,-0.0533262889861348,NA,8.224101594,0.324397414153196,0.29025076,NA,NA,NA,-0.816135244222344,NA,NA,NA,NA,"very high",0.843569792271629,"[0.25,0.5)","[0,0.1)","Iceland","Icelandic Exclusive Economic Zone","ISL",0.213732064,1,NA,1,7,36,9,0.25
"49","India",356,"Asia",2973193,2284053,356,"India","IND",0.608692727,68,739657.5,1271018,531360,71.83866,6387.4,342842.8,453907.4,3881320.2,2036986.53,3769877.204,494901.2,563753.6,460294.8,460294.8,84,0.0743,0.52698738,0.081557808,NA,0.542857143,0.906881518,2087757.37,23.66861591,22.95597161,5.280270761,0.482147276,0.472262844,0.07932433,1625325,0.841035561,474.48,30901.7,76630.96,919747.15,0,0,0.393442623,48,-0.031742461,-0.060040057,-0.042449449,-0.116447589,0,0,0,0,-0.065465188,-0.061371869,-0.070826438,-0.124898333,2916026.05,7668948.354,3.94240043533663,6.03370554468937,53.0464914372449,0.278223638,0.407847276,0.219828366046653,-0.0751856408018942,-0.0424494488163855,107.66861591,0.134020956221907,0.608545188,0.898056779879513,0.289364052879513,-0.130777611858757,-0.54009971019479,0.409322098336033,1.747917079,0.481164450593483,"both","med",0.866474321639055,"[0.25,0.5)","[0,0.1)","India","Indian Exclusive Economic Zone","IND",3.600507522,4,5,8,31,122,48,0.393442623
"50","Indonesia",360,"Asia",1811569,5895641,360,"Indonesia","IDN",0.683759559,68.9,156251,249588.5,93338,59.73594,167681.8,8177374.584,113018.4,2120915.66,2628228.554,7703125.278,94011.8,69422,280700.2,280700.2,132,0.084,0.403679606,0.115514483,0.506961007,0.568571429,0.673801732,6497454.927,27.70859883,26.87560656,5.186963746,0.519411686,0.505507709,0.084028792,5895641,0.893114011,56439,297218.8,71229.44,1157635.7,0,0,0.397849462,74,-0.160228481,-0.172304595,-0.171467877,-0.239422314,0,0,0,0,-0.046245346,-0.085861783,-0.060405163,-0.14411126,2988150.114,17210420.622,19.1240383357546,68.9551827187551,260.568105481337,0.301705843,0.435411686,0.173494721217197,-0.049093097452271,-0.171467877004237,159.70859883,0.222488054943938,0.519194089,0.722596094380032,0.0388365353800325,-0.411759541304122,-0.580591955759279,0.168832414455156,1.566915743,0.569982154426538,"both","med",0.860791559147895,"[0.5,0.75)","[0.1,0.2)","Indonesia","Indonesian Exclusive Economic Zone","IDN",21.11843966,4,6,12,52,186,74,0.397849462
"51","Iran",364,"Asia",1531595,202363,364,"Iran","IRN",0.765590711,75.4,42979.5,76681,33702,78.41413,0,11966.6,13510.6,269895.2,104992.8598,540813.6961,3197.92,28356.2,13510.6,13510.6,26,0.061,0.220035653,0.015367247,0.517393673,0.754285714,0.943193659,178180.405,17.54135081,16.12641834,3.39261235,0.350814075,0.322044552,0.067057598,202363,0.874406273,81353.56,56413.15,1245,58696.9,0,0,0.485294118,33,-0.022804825,-0.035459167,-0.025399127,-0.089226815,0,0,0,0,0.00696,-0.021030769,-0.001282222,-0.13173975,201809.9398,848747.9461,4.69549296292418,11.0685560451742,135.727241688401,0.2059070375,0.289814075,0.402866481716303,-0.0582867354138971,-0.0253991276230677,43.54135081,0.0652806188878727,0.2354029,0.938703175870241,0.173112464870241,-0.558054478336476,-0.75215349382446,0.194099015487984,1.817599932,0.481077412914428,"both","high",0.851874902527312,"[0.25,0.5)","[0,0.1)",NA,"Iranian Exclusive Economic Zone","IRN",0.879299666,4,4,4,21,68,33,0.485294118
"52","Ireland",372,"Europe",68883,426571,372,"Ireland","IRL",0.915541562,80.9,3495.5,4652.5,1157,33.0997,7567.2,37704.576,599.2,746.87,206369.3548,253067.3157,0.2,104,8166.4,8166.4,7,0.0455,0.094709786,0.005514858,NA,0.911428571,0.819361864,350572.3558,11.43204396,10.8091108,1.817235395,0.291310618,0.279081654,0.035415546,426571,0.599010316,34819.68,126064.4,154761.08,272898.75,0,0,0.260869565,18,-0.110792546,-0.065039344,-0.086524254,-0.120490507,0,0,0,0,-0.165317571,-0.22414506,-0.162744,-0.290933735,94594.5548,144788.4117,27.0618094121013,31.1205613541107,14.9980804321032,0.168405309,0.245810618,0.62022660019741,-0.222565698239575,-0.0865242535141785,18.43204396,0.0550249697070513,0.100224644,0.807237026746398,-0.108304535253602,-0.837939975203999,-0.912238105166725,0.074298129962726,1.41837218,0.422322380857752,"both","very high",0.864909247011922,"[0.25,0.5)","[0,0.1)",NA,"Irish Exclusive Economic Zone","IRL",0.448543007,1,1,3,13,69,18,0.260869565
